dt,enter_cnt
2021-11-22,996099
2021-11-23,598669
2021-11-24,549166
2021-11-25,721982
2021-11-26,470985
2021-11-27,317588
2021-11-28,355512
2021-11-29,1038235
2021-11-30,737385
2021-12-01,623486
2021-12-02,679622
2021-12-03,639219
2021-12-04,141960
2021-12-05,237682
2021-12-06,620139
2021-12-07,522930
2021-12-08,543689
2021-12-09,715405
2021-12-10,383454
2021-12-11,114604
2021-12-12,275558
2021-12-13,704798
2021-12-14,572178
2021-12-15,460897
2021-12-16,799265
2021-12-17,724163
2021-12-18,276096
2021-12-19,130197
2021-12-20,698074
2021-12-21,1025233
2021-12-22,509682
2021-12-23,407371
2021-12-24,848864
2021-12-25,153411
2021-12-26,94482
2021-12-27,774864
2021-12-28,340661
2021-12-29,653521
2021-12-30,254213
2021-12-31,20113
2022-01-01,694
2022-01-02,5969
2022-01-03,65649
2022-01-04,240494
2022-01-05,258754
2022-01-06,24131
2022-01-07,61692
2022-01-08,169264
2022-01-09,85808
2022-01-10,683674
2022-01-11,680224
2022-01-12,647930
2022-01-13,575763
2022-01-14,646647
2022-01-15,111959
2022-01-16,266338
2022-01-17,592259
2022-01-18,700989
2022-01-19,462708
2022-01-20,488216
2022-01-21,487478
2022-01-22,87557
2022-01-23,234706
2022-01-24,783639
2022-01-25,707020
2022-01-26,666428
2022-01-27,271763
2022-01-28,669294
2022-01-29,86357
2022-01-30,135200
2022-01-31,1147410
2022-02-01,467444
2022-02-02,383399
2022-02-03,452742
2022-02-04,666191
2022-02-05,201095
2022-02-06,123273
2022-02-07,642474
2022-02-08,477320
2022-02-09,1021857
2022-02-10,421305
2022-02-11,630697
2022-02-12,253231
2022-02-13,165469
2022-02-14,580824
2022-02-15,738767
2022-02-16,408059
2022-02-17,443549
2022-02-18,471416
2022-02-19,140069
2022-02-20,287148
2022-02-21,740852
2022-02-22,587408
2022-02-23,94168
2022-02-24,499965
2022-02-25,516661
2022-02-26,166776
2022-02-27,208593
2022-02-28,813661
2022-03-01,473304
2022-03-02,349587
2022-03-03,386504
2022-03-04,526416
2022-03-05,273844
2022-03-06,207178
2022-03-07,136475
2022-03-08,2496
2022-03-09,521613
2022-03-10,591515
2022-03-11,684458
2022-03-12,184446
2022-03-13,161908
2022-03-14,568499
2022-03-15,604541
2022-03-16,543182
2022-03-17,327457
2022-03-18,372243
2022-03-19,87656
2022-03-20,141411
2022-03-21,394733
2022-03-22,488604
2022-03-23,244506
2022-03-24,299013
2022-03-25,349801
2022-03-26,80618
2022-03-27,1673
2022-03-28,575184
2022-03-29,430973
2022-03-30,276530
2022-03-31,197891
2022-04-01,275928
2022-04-02,115781
2022-04-03,86521
2022-04-04,555167
2022-04-05,430969
2022-04-06,213407
2022-04-07,239131
2022-04-08,310252
2022-04-09,88027
2022-04-10,6848
2022-04-11,436698
2022-04-12,369975
2022-04-13,177517
2022-04-14,632926
2022-04-15,270542
2022-04-16,3436
2022-04-17,121495
2022-04-18,407658
2022-04-19,351361
2022-04-20,308549
2022-04-21,253962
2022-04-22,508802
2022-04-23,17963
2022-04-24,50029
2022-04-25,585657
2022-04-26,257638
2022-04-27,264222
2022-04-28,324497
2022-04-29,385023
2022-04-30,28151
2022-05-01,6839
2022-05-02,61448
2022-05-03,8754
2022-05-04,214039
2022-05-05,209066
2022-05-06,237928
2022-05-07,8353
2022-05-08,882
2022-05-09,16180
2022-05-10,56939
2022-05-11,257392
2022-05-12,294414
2022-05-13,435623
2022-05-14,52362
2022-05-15,68437
2022-05-16,593590
2022-05-17,295539
2022-05-18,482380
2022-05-19,164758
2022-05-20,324985
2022-05-21,65953
2022-05-22,45226
2022-05-23,694109
2022-05-24,341143
2022-05-25,382901
2022-05-26,166277
2022-05-27,204961
2022-05-28,35858
2022-05-29,57037
2022-05-30,456472
2022-05-31,228295
2022-06-01,281615
2022-06-02,280727
2022-06-03,311743
2022-06-04,10907
2022-06-05,25411
2022-06-06,244948
2022-06-07,384527
2022-06-08,436348
2022-06-09,207330
2022-06-10,260223
2022-06-11,12891
2022-06-12,5573
2022-06-13,4755
2022-06-14,290768
2022-06-15,380274
2022-06-16,283322
2022-06-17,254282
2022-06-18,1610
2022-06-19,1195
2022-06-20,287229
2022-06-21,197049
2022-06-22,243477
2022-06-23,315569
2022-06-24,253082
2022-06-25,4526
2022-06-26,3901
2022-06-27,346401
2022-06-28,271132
2022-06-29,361256
2022-06-30,223151
2022-07-01,342776
2022-07-02,1917
2022-07-03,1484
2022-07-04,226093
