dt,leave_cnt
2021-11-28,2918416
2021-12-05,2653678
2021-12-12,3122987
2021-12-19,3527773
2021-12-26,3682560
2022-01-02,4339808
2022-01-09,1455415
2022-01-16,1936897
2022-01-23,2056395
2022-01-30,1959552
2022-02-06,2013208
2022-02-13,2411753
2022-02-20,3072539
2022-02-27,2965393
2022-03-06,3000997
2022-03-13,2650440
2022-03-20,1781059
2022-03-27,1842756
2022-04-03,1404599
2022-04-10,1265345
2022-04-17,1377291
2022-04-24,1160530
2022-05-01,1290665
2022-05-08,1805648
2022-05-15,1373806
2022-05-22,1439232
2022-05-29,1557836
2022-06-05,1402684
2022-06-12,1621690
2022-06-19,1639466
2022-06-26,1598091
2022-07-03,1663448
2022-07-10,1484401
2022-07-17,1719056
2022-07-24,1503603
2022-07-31,1537019
2022-08-07,1583261
2022-08-14,1650309
2022-08-21,1867461
2022-08-28,1608651
2022-09-04,1585412
2022-09-11,1727296
2022-09-18,2006808
2022-09-25,1751899
2022-10-02,1601664
2022-10-09,1897836
2022-10-16,2314358
2022-10-23,2115204
2022-10-30,1868930
2022-11-06,1998238
2022-11-13,2008679
2022-11-20,2221721
