Неделя,Баллы
2018-04-01,58
2018-04-08,61
2018-04-15,63
2018-04-22,65
2018-04-29,59
2018-05-06,60
2018-05-13,54
2018-05-20,54
2018-05-27,51
2018-06-03,56
2018-06-10,50
2018-06-17,54
2018-06-24,52
2018-07-01,54
2018-07-08,53
2018-07-15,52
2018-07-22,58
2018-07-29,58
2018-08-05,60
2018-08-12,55
2018-08-19,64
2018-08-26,57
2018-09-02,56
2018-09-09,65
2018-09-16,59
2018-09-23,60
2018-09-30,57
2018-10-07,59
2018-10-14,60
2018-10-21,59
2018-10-28,60
2018-11-04,58
2018-11-11,54
2018-11-18,57
2018-11-25,53
2018-12-02,54
2018-12-09,58
2018-12-16,59
2018-12-23,63
2018-12-30,62
2019-01-06,69
2019-01-13,72
2019-01-20,63
2019-01-27,74
2019-02-03,61
2019-02-10,71
2019-02-17,68
2019-02-24,61
2019-03-03,59
2019-03-10,58
2019-03-17,69
2019-03-24,68
2019-03-31,62
2019-04-07,62
2019-04-14,60
2019-04-21,59
2019-04-28,58
2019-05-05,53
2019-05-12,56
2019-05-19,56
2019-05-26,61
2019-06-02,56
2019-06-09,56
2019-06-16,62
2019-06-23,60
2019-06-30,58
2019-07-07,59
2019-07-14,59
2019-07-21,57
2019-07-28,62
2019-08-04,62
2019-08-11,61
2019-08-18,65
2019-08-25,63
2019-09-01,60
2019-09-08,59
2019-09-15,59
2019-09-22,64
2019-09-29,64
2019-10-06,65
2019-10-13,72
2019-10-20,59
2019-10-27,55
2019-11-03,58
2019-11-10,59
2019-11-17,55
2019-11-24,66
2019-12-01,71
2019-12-08,60
2019-12-15,63
2019-12-22,64
2019-12-29,57
2020-01-05,75
2020-01-12,73
2020-01-19,71
2020-01-26,73
2020-02-02,74
2020-02-09,77
2020-02-16,76
2020-02-23,71
2020-03-01,66
2020-03-08,70
2020-03-15,86
2020-03-22,83
2020-03-29,75
2020-04-05,58
2020-04-12,58
2020-04-19,57
2020-04-26,55
2020-05-03,56
2020-05-10,50
2020-05-17,53
2020-05-24,55
2020-05-31,54
2020-06-07,54
2020-06-14,54
2020-06-21,56
2020-06-28,55
2020-07-05,55
2020-07-12,56
2020-07-19,57
2020-07-26,58
2020-08-02,58
2020-08-09,61
2020-08-16,59
2020-08-23,65
2020-08-30,63
2020-09-06,63
2020-09-13,60
2020-09-20,63
2020-09-27,61
2020-10-04,63
2020-10-11,75
2020-10-18,87
2020-10-25,88
2020-11-01,86
2020-11-08,83
2020-11-15,77
2020-11-22,74
2020-11-29,82
2020-12-06,70
2020-12-13,69
2020-12-20,68
2020-12-27,63
2021-01-03,74
2021-01-10,64
2021-01-17,63
2021-01-24,61
2021-01-31,66
2021-02-07,65
2021-02-14,59
2021-02-21,62
2021-02-28,60
2021-03-07,61
2021-03-14,60
2021-03-21,66
2021-03-28,63
2021-04-04,62
2021-04-11,55
2021-04-18,55
2021-04-25,56
2021-05-02,58
2021-05-09,58
2021-05-16,57
2021-05-23,57
2021-05-30,64
2021-06-06,59
2021-06-13,59
2021-06-20,65
2021-06-27,63
2021-07-04,64
2021-07-11,68
2021-07-18,65
2021-07-25,63
2021-08-01,71
2021-08-08,64
2021-08-15,68
2021-08-22,65
2021-08-29,57
2021-09-05,65
2021-09-12,69
2021-09-19,68
2021-09-26,72
2021-10-03,67
2021-10-10,65
2021-10-17,67
2021-10-24,69
2021-10-31,71
2021-11-07,64
2021-11-14,62
2021-11-21,57
2021-11-28,58
2021-12-05,61
2021-12-12,58
2021-12-19,59
2021-12-26,60
2022-01-02,67
2022-01-09,64
2022-01-16,70
2022-01-23,83
2022-01-30,100
2022-02-06,81
2022-02-13,73
2022-02-20,64
2022-02-27,75
2022-03-06,75
2022-03-13,82
2022-03-20,72
2022-03-27,65
2022-04-03,64
2022-04-10,60
2022-04-17,59
2022-04-24,59
2022-05-01,58
2022-05-08,57
2022-05-15,52
2022-05-22,56
2022-05-29,53
2022-06-05,52
2022-06-12,54
2022-06-19,50
2022-06-26,56
2022-07-03,55
2022-07-10,53
2022-07-17,57
2022-07-24,61
2022-07-31,61
2022-08-07,64
2022-08-14,70
2022-08-21,70
2022-08-28,62
2022-09-04,68
2022-09-11,69
2022-09-18,61
2022-09-25,67
2022-10-02,61
2022-10-09,58
2022-10-16,59
2022-10-23,63
2022-10-30,65
2022-11-06,63
2022-11-13,63
2022-11-20,61
2022-11-27,65
2022-12-04,71
2022-12-11,77
2022-12-18,73
2022-12-25,66
2023-01-01,64
2023-01-08,63
2023-01-15,64
2023-01-22,65
2023-01-29,68
2023-02-05,63
2023-02-12,67
2023-02-19,63
2023-02-26,66
2023-03-05,63
2023-03-12,65
2023-03-19,63
2023-03-26,66
