date,value
2018-04-01,48
2018-04-08,53
2018-04-15,56
2018-04-22,41
2018-04-29,52
2018-05-06,57
2018-05-13,52
2018-05-20,41
2018-05-27,37
2018-06-03,52
2018-06-10,47
2018-06-17,47
2018-06-24,48
2018-07-01,47
2018-07-08,56
2018-07-15,50
2018-07-22,56
2018-07-29,52
2018-08-05,39
2018-08-12,39
2018-08-19,65
2018-08-26,40
2018-09-02,40
2018-09-09,32
2018-09-16,42
2018-09-23,38
2018-09-30,30
2018-10-07,32
2018-10-14,46
2018-10-21,43
2018-10-28,36
2018-11-04,44
2018-11-11,38
2018-11-18,39
2018-11-25,30
2018-12-02,49
2018-12-09,53
2018-12-16,38
2018-12-23,46
2018-12-30,48
2019-01-06,49
2019-01-13,50
2019-01-20,50
2019-01-27,47
2019-02-03,44
2019-02-10,44
2019-02-17,52
2019-02-24,62
2019-03-03,57
2019-03-10,40
2019-03-17,42
2019-03-24,50
2019-03-31,57
2019-04-07,51
2019-04-14,43
2019-04-21,53
2019-04-28,47
2019-05-05,43
2019-05-12,57
2019-05-19,37
2019-05-26,58
2019-06-02,55
2019-06-09,54
2019-06-16,49
2019-06-23,47
2019-06-30,60
2019-07-07,56
2019-07-14,49
2019-07-21,51
2019-07-28,48
2019-08-04,44
2019-08-11,51
2019-08-18,30
2019-08-25,31
2019-09-01,45
2019-09-08,45
2019-09-15,40
2019-09-22,46
2019-09-29,43
2019-10-06,56
2019-10-13,55
2019-10-20,58
2019-10-27,41
2019-11-03,34
2019-11-10,46
2019-11-17,50
2019-11-24,51
2019-12-01,58
2019-12-08,40
2019-12-15,50
2019-12-22,38
2019-12-29,44
2020-01-05,70
2020-01-12,57
2020-01-19,53
2020-01-26,42
2020-02-02,49
2020-02-09,39
2020-02-16,45
2020-02-23,50
2020-03-01,42
2020-03-08,40
2020-03-15,40
2020-03-22,31
2020-03-29,44
2020-04-05,41
2020-04-12,29
2020-04-19,38
2020-04-26,46
2020-05-03,46
2020-05-10,40
2020-05-17,46
2020-05-24,42
2020-05-31,49
2020-06-07,54
2020-06-14,63
2020-06-21,53
2020-06-28,43
2020-07-05,61
2020-07-12,74
2020-07-19,41
2020-07-26,55
2020-08-02,57
2020-08-09,47
2020-08-16,44
2020-08-23,44
2020-08-30,42
2020-09-06,43
2020-09-13,46
2020-09-20,53
2020-09-27,45
2020-10-04,52
2020-10-11,49
2020-10-18,49
2020-10-25,50
2020-11-01,53
2020-11-08,64
2020-11-15,54
2020-11-22,58
2020-11-29,39
2020-12-06,46
2020-12-13,52
2020-12-20,46
2020-12-27,35
2021-01-03,50
2021-01-10,48
2021-01-17,49
2021-01-24,46
2021-01-31,53
2021-02-07,50
2021-02-14,42
2021-02-21,53
2021-02-28,61
2021-03-07,48
2021-03-14,55
2021-03-21,53
2021-03-28,59
2021-04-04,51
2021-04-11,75
2021-04-18,59
2021-04-25,52
2021-05-02,76
2021-05-09,71
2021-05-16,94
2021-05-23,52
2021-05-30,46
2021-06-06,81
2021-06-13,45
2021-06-20,83
2021-06-27,69
2021-07-04,100
2021-07-11,90
2021-07-18,55
2021-07-25,60
2021-08-01,63
2021-08-08,38
2021-08-15,55
2021-08-22,55
2021-08-29,50
2021-09-05,39
2021-09-12,63
2021-09-19,52
2021-09-26,70
2021-10-03,36
2021-10-10,52
2021-10-17,52
2021-10-24,52
2021-10-31,65
2021-11-07,47
2021-11-14,54
2021-11-21,46
2021-11-28,64
2021-12-05,38
2021-12-12,51
2021-12-19,31
2021-12-26,44
2022-01-02,61
2022-01-09,48
2022-01-16,57
2022-01-23,50
2022-01-30,71
2022-02-06,51
2022-02-13,58
2022-02-20,54
2022-02-27,42
2022-03-06,48
2022-03-13,53
2022-03-20,66
2022-03-27,52
2022-04-03,53
2022-04-10,62
2022-04-17,56
2022-04-24,63
2022-05-01,63
2022-05-08,44
2022-05-15,70
2022-05-22,47
2022-05-29,67
2022-06-05,64
2022-06-12,62
2022-06-19,54
2022-06-26,58
2022-07-03,63
2022-07-10,76
2022-07-17,56
2022-07-24,68
2022-07-31,72
2022-08-07,59
2022-08-14,86
2022-08-21,55
2022-08-28,59
2022-09-04,60
2022-09-11,67
2022-09-18,52
2022-09-25,35
2022-10-02,40
2022-10-09,50
2022-10-16,52
2022-10-23,41
2022-10-30,46
2022-11-06,40
2022-11-13,47
2022-11-20,61
2022-11-27,52
2022-12-04,42
2022-12-11,62
2022-12-18,51
2022-12-25,44
2023-01-01,73
2023-01-08,55
2023-01-15,56
2023-01-22,59
2023-01-29,52
2023-02-05,55
2023-02-12,65
2023-02-19,55
2023-02-26,51
2023-03-05,65
2023-03-12,71
2023-03-19,68
2023-03-26,87
