Неделя,Баллы
2018-04-01,82
2018-04-08,79
2018-04-15,76
2018-04-22,77
2018-04-29,77
2018-05-06,71
2018-05-13,74
2018-05-20,75
2018-05-27,80
2018-06-03,76
2018-06-10,77
2018-06-17,69
2018-06-24,64
2018-07-01,68
2018-07-08,74
2018-07-15,74
2018-07-22,75
2018-07-29,72
2018-08-05,79
2018-08-12,70
2018-08-19,76
2018-08-26,71
2018-09-02,67
2018-09-09,69
2018-09-16,66
2018-09-23,68
2018-09-30,67
2018-10-07,74
2018-10-14,71
2018-10-21,74
2018-10-28,70
2018-11-04,70
2018-11-11,77
2018-11-18,77
2018-11-25,74
2018-12-02,78
2018-12-09,68
2018-12-16,71
2018-12-23,69
2018-12-30,69
2019-01-06,81
2019-01-13,78
2019-01-20,81
2019-01-27,80
2019-02-03,83
2019-02-10,79
2019-02-17,79
2019-02-24,76
2019-03-03,76
2019-03-10,81
2019-03-17,81
2019-03-24,84
2019-03-31,82
2019-04-07,81
2019-04-14,79
2019-04-21,72
2019-04-28,68
2019-05-05,69
2019-05-12,69
2019-05-19,69
2019-05-26,76
2019-06-02,70
2019-06-09,67
2019-06-16,70
2019-06-23,72
2019-06-30,80
2019-07-07,72
2019-07-14,71
2019-07-21,74
2019-07-28,71
2019-08-04,72
2019-08-11,73
2019-08-18,70
2019-08-25,68
2019-09-01,64
2019-09-08,66
2019-09-15,64
2019-09-22,72
2019-09-29,75
2019-10-06,76
2019-10-13,74
2019-10-20,73
2019-10-27,74
2019-11-03,76
2019-11-10,75
2019-11-17,77
2019-11-24,73
2019-12-01,75
2019-12-08,67
2019-12-15,71
2019-12-22,64
2019-12-29,69
2020-01-05,76
2020-01-12,69
2020-01-19,73
2020-01-26,81
2020-02-02,74
2020-02-09,82
2020-02-16,84
2020-02-23,84
2020-03-01,81
2020-03-08,74
2020-03-15,76
2020-03-22,79
2020-03-29,75
2020-04-05,78
2020-04-12,78
2020-04-19,82
2020-04-26,88
2020-05-03,81
2020-05-10,81
2020-05-17,84
2020-05-24,84
2020-05-31,81
2020-06-07,77
2020-06-14,80
2020-06-21,76
2020-06-28,77
2020-07-05,71
2020-07-12,70
2020-07-19,72
2020-07-26,74
2020-08-02,71
2020-08-09,73
2020-08-16,71
2020-08-23,79
2020-08-30,77
2020-09-06,68
2020-09-13,67
2020-09-20,74
2020-09-27,73
2020-10-04,69
2020-10-11,67
2020-10-18,70
2020-10-25,77
2020-11-01,71
2020-11-08,72
2020-11-15,75
2020-11-22,78
2020-11-29,69
2020-12-06,76
2020-12-13,78
2020-12-20,79
2020-12-27,75
2021-01-03,87
2021-01-10,79
2021-01-17,78
2021-01-24,83
2021-01-31,84
2021-02-07,86
2021-02-14,85
2021-02-21,83
2021-02-28,87
2021-03-07,93
2021-03-14,96
2021-03-21,91
2021-03-28,85
2021-04-04,85
2021-04-11,78
2021-04-18,77
2021-04-25,82
2021-05-02,81
2021-05-09,75
2021-05-16,74
2021-05-23,78
2021-05-30,76
2021-06-06,76
2021-06-13,76
2021-06-20,73
2021-06-27,74
2021-07-04,74
2021-07-11,76
2021-07-18,73
2021-07-25,74
2021-08-01,76
2021-08-08,79
2021-08-15,79
2021-08-22,80
2021-08-29,73
2021-09-05,75
2021-09-12,73
2021-09-19,79
2021-09-26,90
2021-10-03,88
2021-10-10,80
2021-10-17,80
2021-10-24,87
2021-10-31,100
2021-11-07,83
2021-11-14,81
2021-11-21,81
2021-11-28,69
2021-12-05,70
2021-12-12,71
2021-12-19,65
2021-12-26,68
2022-01-02,81
2022-01-09,79
2022-01-16,78
2022-01-23,87
2022-01-30,91
2022-02-06,85
2022-02-13,82
2022-02-20,71
2022-02-27,72
2022-03-06,80
2022-03-13,79
2022-03-20,78
2022-03-27,80
2022-04-03,76
2022-04-10,75
2022-04-17,82
2022-04-24,75
2022-05-01,78
2022-05-08,72
2022-05-15,76
2022-05-22,75
2022-05-29,77
2022-06-05,78
2022-06-12,85
2022-06-19,75
2022-06-26,74
2022-07-03,80
2022-07-10,75
2022-07-17,77
2022-07-24,80
2022-07-31,82
2022-08-07,79
2022-08-14,81
2022-08-21,81
2022-08-28,75
2022-09-04,72
2022-09-11,74
2022-09-18,69
2022-09-25,73
2022-10-02,74
2022-10-09,73
2022-10-16,73
2022-10-23,76
2022-10-30,77
2022-11-06,75
2022-11-13,80
2022-11-20,80
2022-11-27,74
2022-12-04,80
2022-12-11,76
2022-12-18,75
2022-12-25,70
2023-01-01,74
2023-01-08,75
2023-01-15,77
2023-01-22,81
2023-01-29,88
2023-02-05,84
2023-02-12,83
2023-02-19,87
2023-02-26,84
2023-03-05,83
2023-03-12,87
2023-03-19,82
2023-03-26,83
