Неделя,Баллы
2018-04-01,80
2018-04-08,85
2018-04-15,82
2018-04-22,69
2018-04-29,86
2018-05-06,78
2018-05-13,79
2018-05-20,76
2018-05-27,74
2018-06-03,69
2018-06-10,67
2018-06-17,67
2018-06-24,65
2018-07-01,60
2018-07-08,65
2018-07-15,65
2018-07-22,61
2018-07-29,68
2018-08-05,72
2018-08-12,75
2018-08-19,83
2018-08-26,84
2018-09-02,79
2018-09-09,80
2018-09-16,80
2018-09-23,84
2018-09-30,85
2018-10-07,81
2018-10-14,78
2018-10-21,85
2018-10-28,93
2018-11-04,86
2018-11-11,92
2018-11-18,90
2018-11-25,84
2018-12-02,75
2018-12-09,71
2018-12-16,73
2018-12-23,56
2018-12-30,54
2019-01-06,63
2019-01-13,60
2019-01-20,58
2019-01-27,59
2019-02-03,65
2019-02-10,71
2019-02-17,63
2019-02-24,66
2019-03-03,68
2019-03-10,72
2019-03-17,76
2019-03-24,88
2019-03-31,76
2019-04-07,85
2019-04-14,68
2019-04-21,71
2019-04-28,75
2019-05-05,76
2019-05-12,82
2019-05-19,69
2019-05-26,73
2019-06-02,72
2019-06-09,63
2019-06-16,66
2019-06-23,64
2019-06-30,60
2019-07-07,63
2019-07-14,63
2019-07-21,67
2019-07-28,70
2019-08-04,74
2019-08-11,78
2019-08-18,67
2019-08-25,82
2019-09-01,70
2019-09-08,61
2019-09-15,83
2019-09-22,84
2019-09-29,77
2019-10-06,75
2019-10-13,77
2019-10-20,73
2019-10-27,78
2019-11-03,88
2019-11-10,79
2019-11-17,77
2019-11-24,76
2019-12-01,72
2019-12-08,60
2019-12-15,57
2019-12-22,52
2019-12-29,54
2020-01-05,64
2020-01-12,58
2020-01-19,54
2020-01-26,53
2020-02-02,57
2020-02-09,57
2020-02-16,63
2020-02-23,63
2020-03-01,63
2020-03-08,70
2020-03-15,54
2020-03-22,50
2020-03-29,32
2020-04-05,39
2020-04-12,39
2020-04-19,46
2020-04-26,54
2020-05-03,65
2020-05-10,53
2020-05-17,56
2020-05-24,60
2020-05-31,61
2020-06-07,75
2020-06-14,65
2020-06-21,60
2020-06-28,65
2020-07-05,63
2020-07-12,58
2020-07-19,56
2020-07-26,65
2020-08-02,61
2020-08-09,71
2020-08-16,74
2020-08-23,82
2020-08-30,69
2020-09-06,76
2020-09-13,76
2020-09-20,77
2020-09-27,70
2020-10-04,77
2020-10-11,79
2020-10-18,94
2020-10-25,77
2020-11-01,74
2020-11-08,83
2020-11-15,87
2020-11-22,81
2020-11-29,69
2020-12-06,64
2020-12-13,61
2020-12-20,56
2020-12-27,48
2021-01-03,66
2021-01-10,57
2021-01-17,56
2021-01-24,59
2021-01-31,59
2021-02-07,60
2021-02-14,58
2021-02-21,70
2021-02-28,61
2021-03-07,68
2021-03-14,75
2021-03-21,72
2021-03-28,83
2021-04-04,82
2021-04-11,89
2021-04-18,67
2021-04-25,65
2021-05-02,81
2021-05-09,79
2021-05-16,80
2021-05-23,70
2021-05-30,70
2021-06-06,72
2021-06-13,66
2021-06-20,63
2021-06-27,59
2021-07-04,63
2021-07-11,63
2021-07-18,61
2021-07-25,63
2021-08-01,71
2021-08-08,77
2021-08-15,78
2021-08-22,85
2021-08-29,92
2021-09-05,85
2021-09-12,87
2021-09-19,100
2021-09-26,77
2021-10-03,85
2021-10-10,74
2021-10-17,81
2021-10-24,85
2021-10-31,85
2021-11-07,94
2021-11-14,93
2021-11-21,88
2021-11-28,85
2021-12-05,84
2021-12-12,81
2021-12-19,71
2021-12-26,63
2022-01-02,65
2022-01-09,54
2022-01-16,57
2022-01-23,61
2022-01-30,62
2022-02-06,67
2022-02-13,59
2022-02-20,57
2022-02-27,47
2022-03-06,56
2022-03-13,57
2022-03-20,65
2022-03-27,65
2022-04-03,62
2022-04-10,62
2022-04-17,65
2022-04-24,63
2022-05-01,56
2022-05-08,63
2022-05-15,58
2022-05-22,56
2022-05-29,66
2022-06-05,65
2022-06-12,60
2022-06-19,60
2022-06-26,57
2022-07-03,57
2022-07-10,52
2022-07-17,56
2022-07-24,54
2022-07-31,59
2022-08-07,60
2022-08-14,64
2022-08-21,72
2022-08-28,75
2022-09-04,76
2022-09-11,65
2022-09-18,58
2022-09-25,65
2022-10-02,63
2022-10-09,64
2022-10-16,67
2022-10-23,68
2022-10-30,81
2022-11-06,73
2022-11-13,85
2022-11-20,74
2022-11-27,70
2022-12-04,55
2022-12-11,56
2022-12-18,52
2022-12-25,45
2023-01-01,52
2023-01-08,49
2023-01-15,53
2023-01-22,49
2023-01-29,53
2023-02-05,52
2023-02-12,52
2023-02-19,57
2023-02-26,53
2023-03-05,61
2023-03-12,64
2023-03-19,66
2023-03-26,75
