date,value
2018-04-01,55
2018-04-08,54
2018-04-15,54
2018-04-22,56
2018-04-29,74
2018-05-06,67
2018-05-13,64
2018-05-20,68
2018-05-27,64
2018-06-03,65
2018-06-10,76
2018-06-17,83
2018-06-24,80
2018-07-01,79
2018-07-08,78
2018-07-15,74
2018-07-22,74
2018-07-29,76
2018-08-05,75
2018-08-12,70
2018-08-19,61
2018-08-26,66
2018-09-02,60
2018-09-09,54
2018-09-16,54
2018-09-23,51
2018-09-30,50
2018-10-07,52
2018-10-14,55
2018-10-21,53
2018-10-28,58
2018-11-04,56
2018-11-11,50
2018-11-18,47
2018-11-25,45
2018-12-02,50
2018-12-09,53
2018-12-16,49
2018-12-23,57
2018-12-30,64
2019-01-06,55
2019-01-13,53
2019-01-20,57
2019-01-27,58
2019-02-03,57
2019-02-10,61
2019-02-17,67
2019-02-24,59
2019-03-03,56
2019-03-10,52
2019-03-17,62
2019-03-24,62
2019-03-31,62
2019-04-07,60
2019-04-14,61
2019-04-21,65
2019-04-28,71
2019-05-05,72
2019-05-12,62
2019-05-19,69
2019-05-26,74
2019-06-02,71
2019-06-09,77
2019-06-16,75
2019-06-23,77
2019-06-30,79
2019-07-07,76
2019-07-14,79
2019-07-21,75
2019-07-28,71
2019-08-04,74
2019-08-11,71
2019-08-18,72
2019-08-25,67
2019-09-01,60
2019-09-08,56
2019-09-15,56
2019-09-22,53
2019-09-29,58
2019-10-06,69
2019-10-13,58
2019-10-20,58
2019-10-27,56
2019-11-03,60
2019-11-10,51
2019-11-17,53
2019-11-24,52
2019-12-01,55
2019-12-08,57
2019-12-15,51
2019-12-22,53
2019-12-29,69
2020-01-05,68
2020-01-12,58
2020-01-19,57
2020-01-26,60
2020-02-02,58
2020-02-09,65
2020-02-16,78
2020-02-23,65
2020-03-01,63
2020-03-08,66
2020-03-15,60
2020-03-22,59
2020-03-29,57
2020-04-05,54
2020-04-12,50
2020-04-19,55
2020-04-26,59
2020-05-03,67
2020-05-10,58
2020-05-17,63
2020-05-24,70
2020-05-31,70
2020-06-07,83
2020-06-14,83
2020-06-21,78
2020-06-28,82
2020-07-05,87
2020-07-12,79
2020-07-19,80
2020-07-26,83
2020-08-02,89
2020-08-09,77
2020-08-16,76
2020-08-23,75
2020-08-30,73
2020-09-06,67
2020-09-13,61
2020-09-20,61
2020-09-27,61
2020-10-04,64
2020-10-11,57
2020-10-18,59
2020-10-25,56
2020-11-01,64
2020-11-08,58
2020-11-15,58
2020-11-22,56
2020-11-29,56
2020-12-06,54
2020-12-13,53
2020-12-20,59
2020-12-27,68
2021-01-03,79
2021-01-10,55
2021-01-17,61
2021-01-24,64
2021-01-31,63
2021-02-07,67
2021-02-14,67
2021-02-21,79
2021-02-28,63
2021-03-07,65
2021-03-14,64
2021-03-21,66
2021-03-28,67
2021-04-04,63
2021-04-11,67
2021-04-18,61
2021-04-25,68
2021-05-02,84
2021-05-09,74
2021-05-16,75
2021-05-23,77
2021-05-30,77
2021-06-06,80
2021-06-13,85
2021-06-20,87
2021-06-27,93
2021-07-04,96
2021-07-11,95
2021-07-18,90
2021-07-25,83
2021-08-01,92
2021-08-08,85
2021-08-15,86
2021-08-22,83
2021-08-29,71
2021-09-05,62
2021-09-12,60
2021-09-19,58
2021-09-26,59
2021-10-03,62
2021-10-10,58
2021-10-17,56
2021-10-24,61
2021-10-31,63
2021-11-07,53
2021-11-14,56
2021-11-21,54
2021-11-28,50
2021-12-05,53
2021-12-12,50
2021-12-19,54
2021-12-26,71
2022-01-02,75
2022-01-09,60
2022-01-16,58
2022-01-23,60
2022-01-30,60
2022-02-06,58
2022-02-13,64
2022-02-20,65
2022-02-27,51
2022-03-06,64
2022-03-13,59
2022-03-20,59
2022-03-27,67
2022-04-03,60
2022-04-10,67
2022-04-17,64
2022-04-24,67
2022-05-01,77
2022-05-08,78
2022-05-15,76
2022-05-22,80
2022-05-29,80
2022-06-05,82
2022-06-12,87
2022-06-19,90
2022-06-26,92
2022-07-03,96
2022-07-10,97
2022-07-17,86
2022-07-24,94
2022-07-31,100
2022-08-07,99
2022-08-14,93
2022-08-21,93
2022-08-28,81
2022-09-04,65
2022-09-11,64
2022-09-18,63
2022-09-25,58
2022-10-02,62
2022-10-09,65
2022-10-16,63
2022-10-23,67
2022-10-30,75
2022-11-06,60
2022-11-13,64
2022-11-20,65
2022-11-27,59
2022-12-04,59
2022-12-11,67
2022-12-18,63
2022-12-25,76
2023-01-01,88
2023-01-08,63
2023-01-15,66
2023-01-22,68
2023-01-29,73
2023-02-05,70
2023-02-12,76
2023-02-19,89
2023-02-26,70
2023-03-05,71
2023-03-12,70
2023-03-19,73
2023-03-26,70
