Неделя,Баллы
2018-04-01,45
2018-04-08,46
2018-04-15,43
2018-04-22,47
2018-04-29,63
2018-05-06,55
2018-05-13,49
2018-05-20,51
2018-05-27,52
2018-06-03,58
2018-06-10,55
2018-06-17,54
2018-06-24,53
2018-07-01,56
2018-07-08,60
2018-07-15,59
2018-07-22,63
2018-07-29,58
2018-08-05,58
2018-08-12,54
2018-08-19,60
2018-08-26,55
2018-09-02,52
2018-09-09,55
2018-09-16,55
2018-09-23,53
2018-09-30,50
2018-10-07,48
2018-10-14,55
2018-10-21,52
2018-10-28,54
2018-11-04,51
2018-11-11,49
2018-11-18,48
2018-11-25,47
2018-12-02,45
2018-12-09,48
2018-12-16,43
2018-12-23,48
2018-12-30,49
2019-01-06,47
2019-01-13,48
2019-01-20,47
2019-01-27,50
2019-02-03,50
2019-02-10,50
2019-02-17,49
2019-02-24,50
2019-03-03,47
2019-03-10,50
2019-03-17,48
2019-03-24,52
2019-03-31,52
2019-04-07,49
2019-04-14,51
2019-04-21,50
2019-04-28,49
2019-05-05,53
2019-05-12,53
2019-05-19,52
2019-05-26,54
2019-06-02,56
2019-06-09,56
2019-06-16,58
2019-06-23,57
2019-06-30,56
2019-07-07,62
2019-07-14,57
2019-07-21,65
2019-07-28,62
2019-08-04,58
2019-08-11,62
2019-08-18,60
2019-08-25,60
2019-09-01,59
2019-09-08,63
2019-09-15,52
2019-09-22,56
2019-09-29,52
2019-10-06,52
2019-10-13,52
2019-10-20,53
2019-10-27,47
2019-11-03,53
2019-11-10,50
2019-11-17,50
2019-11-24,47
2019-12-01,51
2019-12-08,50
2019-12-15,46
2019-12-22,52
2019-12-29,54
2020-01-05,54
2020-01-12,57
2020-01-19,55
2020-01-26,55
2020-02-02,60
2020-02-09,60
2020-02-16,59
2020-02-23,55
2020-03-01,49
2020-03-08,47
2020-03-15,53
2020-03-22,51
2020-03-29,49
2020-04-05,43
2020-04-12,39
2020-04-19,45
2020-04-26,46
2020-05-03,52
2020-05-10,47
2020-05-17,55
2020-05-24,52
2020-05-31,59
2020-06-07,55
2020-06-14,56
2020-06-21,58
2020-06-28,62
2020-07-05,64
2020-07-12,61
2020-07-19,66
2020-07-26,67
2020-08-02,59
2020-08-09,69
2020-08-16,62
2020-08-23,69
2020-08-30,67
2020-09-06,66
2020-09-13,61
2020-09-20,62
2020-09-27,64
2020-10-04,66
2020-10-11,72
2020-10-18,59
2020-10-25,65
2020-11-01,65
2020-11-08,56
2020-11-15,54
2020-11-22,62
2020-11-29,60
2020-12-06,65
2020-12-13,58
2020-12-20,59
2020-12-27,59
2021-01-03,66
2021-01-10,61
2021-01-17,52
2021-01-24,67
2021-01-31,64
2021-02-07,68
2021-02-14,61
2021-02-21,65
2021-02-28,66
2021-03-07,68
2021-03-14,75
2021-03-21,70
2021-03-28,72
2021-04-04,73
2021-04-11,74
2021-04-18,69
2021-04-25,67
2021-05-02,80
2021-05-09,69
2021-05-16,70
2021-05-23,75
2021-05-30,81
2021-06-06,83
2021-06-13,83
2021-06-20,79
2021-06-27,86
2021-07-04,88
2021-07-11,86
2021-07-18,89
2021-07-25,89
2021-08-01,89
2021-08-08,98
2021-08-15,89
2021-08-22,100
2021-08-29,82
2021-09-05,84
2021-09-12,75
2021-09-19,71
2021-09-26,71
2021-10-03,65
2021-10-10,71
2021-10-17,69
2021-10-24,72
2021-10-31,74
2021-11-07,59
2021-11-14,60
2021-11-21,59
2021-11-28,56
2021-12-05,55
2021-12-12,52
2021-12-19,51
2021-12-26,60
2022-01-02,65
2022-01-09,58
2022-01-16,61
2022-01-23,60
2022-01-30,59
2022-02-06,64
2022-02-13,58
2022-02-20,56
2022-02-27,54
2022-03-06,83
2022-03-13,67
2022-03-20,62
2022-03-27,69
2022-04-03,66
2022-04-10,69
2022-04-17,67
2022-04-24,66
2022-05-01,70
2022-05-08,73
2022-05-15,71
2022-05-22,71
2022-05-29,77
2022-06-05,82
2022-06-12,73
2022-06-19,74
2022-06-26,84
2022-07-03,79
2022-07-10,90
2022-07-17,100
2022-07-24,92
2022-07-31,88
2022-08-07,91
2022-08-14,81
2022-08-21,82
2022-08-28,78
2022-09-04,74
2022-09-11,76
2022-09-18,69
2022-09-25,65
2022-10-02,69
2022-10-09,71
2022-10-16,68
2022-10-23,73
2022-10-30,73
2022-11-06,66
2022-11-13,61
2022-11-20,67
2022-11-27,62
2022-12-04,62
2022-12-11,63
2022-12-18,60
2022-12-25,63
2023-01-01,61
2023-01-08,61
2023-01-15,65
2023-01-22,68
2023-01-29,67
2023-02-05,65
2023-02-12,62
2023-02-19,65
2023-02-26,65
2023-03-05,65
2023-03-12,61
2023-03-19,69
2023-03-26,69
