Неделя,Баллы
2018-04-01,59
2018-04-08,67
2018-04-15,53
2018-04-22,62
2018-04-29,75
2018-05-06,62
2018-05-13,74
2018-05-20,84
2018-05-27,80
2018-06-03,74
2018-06-10,73
2018-06-17,71
2018-06-24,76
2018-07-01,81
2018-07-08,74
2018-07-15,88
2018-07-22,76
2018-07-29,78
2018-08-05,82
2018-08-12,76
2018-08-19,73
2018-08-26,71
2018-09-02,64
2018-09-09,59
2018-09-16,59
2018-09-23,66
2018-09-30,63
2018-10-07,56
2018-10-14,61
2018-10-21,60
2018-10-28,70
2018-11-04,65
2018-11-11,69
2018-11-18,68
2018-11-25,64
2018-12-02,75
2018-12-09,90
2018-12-16,76
2018-12-23,80
2018-12-30,81
2019-01-06,77
2019-01-13,63
2019-01-20,62
2019-01-27,69
2019-02-03,71
2019-02-10,68
2019-02-17,61
2019-02-24,70
2019-03-03,61
2019-03-10,60
2019-03-17,59
2019-03-24,59
2019-03-31,66
2019-04-07,67
2019-04-14,63
2019-04-21,59
2019-04-28,60
2019-05-05,74
2019-05-12,69
2019-05-19,69
2019-05-26,58
2019-06-02,77
2019-06-09,68
2019-06-16,74
2019-06-23,78
2019-06-30,68
2019-07-07,75
2019-07-14,68
2019-07-21,72
2019-07-28,72
2019-08-04,69
2019-08-11,73
2019-08-18,68
2019-08-25,70
2019-09-01,55
2019-09-08,69
2019-09-15,70
2019-09-22,58
2019-09-29,65
2019-10-06,72
2019-10-13,63
2019-10-20,62
2019-10-27,65
2019-11-03,69
2019-11-10,67
2019-11-17,66
2019-11-24,77
2019-12-01,81
2019-12-08,74
2019-12-15,90
2019-12-22,94
2019-12-29,96
2020-01-05,79
2020-01-12,77
2020-01-19,78
2020-01-26,76
2020-02-02,68
2020-02-09,74
2020-02-16,63
2020-02-23,68
2020-03-01,67
2020-03-08,69
2020-03-15,59
2020-03-22,57
2020-03-29,50
2020-04-05,50
2020-04-12,45
2020-04-19,49
2020-04-26,55
2020-05-03,61
2020-05-10,59
2020-05-17,59
2020-05-24,65
2020-05-31,68
2020-06-07,60
2020-06-14,70
2020-06-21,80
2020-06-28,78
2020-07-05,69
2020-07-12,67
2020-07-19,68
2020-07-26,64
2020-08-02,74
2020-08-09,73
2020-08-16,64
2020-08-23,68
2020-08-30,59
2020-09-06,61
2020-09-13,62
2020-09-20,55
2020-09-27,72
2020-10-04,73
2020-10-11,67
2020-10-18,70
2020-10-25,62
2020-11-01,68
2020-11-08,72
2020-11-15,78
2020-11-22,83
2020-11-29,95
2020-12-06,90
2020-12-13,92
2020-12-20,100
2020-12-27,96
2021-01-03,96
2021-01-10,75
2021-01-17,63
2021-01-24,73
2021-01-31,78
2021-02-07,71
2021-02-14,70
2021-02-21,78
2021-02-28,72
2021-03-07,75
2021-03-14,55
2021-03-21,78
2021-03-28,66
2021-04-04,68
2021-04-11,63
2021-04-18,65
2021-04-25,65
2021-05-02,64
2021-05-09,52
2021-05-16,57
2021-05-23,62
2021-05-30,67
2021-06-06,63
2021-06-13,72
2021-06-20,62
2021-06-27,72
2021-07-04,73
2021-07-11,71
2021-07-18,65
2021-07-25,71
2021-08-01,75
2021-08-08,80
2021-08-15,80
2021-08-22,64
2021-08-29,76
2021-09-05,72
2021-09-12,58
2021-09-19,72
2021-09-26,71
2021-10-03,59
2021-10-10,69
2021-10-17,62
2021-10-24,69
2021-10-31,73
2021-11-07,72
2021-11-14,69
2021-11-21,73
2021-11-28,70
2021-12-05,72
2021-12-12,77
2021-12-19,85
2021-12-26,95
2022-01-02,94
2022-01-09,80
2022-01-16,71
2022-01-23,75
2022-01-30,69
2022-02-06,74
2022-02-13,70
2022-02-20,68
2022-02-27,54
2022-03-06,64
2022-03-13,56
2022-03-20,51
2022-03-27,52
2022-04-03,58
2022-04-10,51
2022-04-17,55
2022-04-24,51
2022-05-01,58
2022-05-08,66
2022-05-15,64
2022-05-22,62
2022-05-29,63
2022-06-05,62
2022-06-12,60
2022-06-19,64
2022-06-26,58
2022-07-03,60
2022-07-10,75
2022-07-17,69
2022-07-24,66
2022-07-31,74
2022-08-07,69
2022-08-14,68
2022-08-21,69
2022-08-28,60
2022-09-04,61
2022-09-11,63
2022-09-18,54
2022-09-25,51
2022-10-02,57
2022-10-09,56
2022-10-16,57
2022-10-23,61
2022-10-30,69
2022-11-06,64
2022-11-13,65
2022-11-20,65
2022-11-27,65
2022-12-04,71
2022-12-11,79
2022-12-18,80
2022-12-25,89
2023-01-01,84
2023-01-08,57
2023-01-15,59
2023-01-22,64
2023-01-29,61
2023-02-05,62
2023-02-12,61
2023-02-19,63
2023-02-26,59
2023-03-05,59
2023-03-12,60
2023-03-19,52
2023-03-26,66
