Неделя,Баллы
2018-04-01,51
2018-04-08,66
2018-04-15,66
2018-04-22,52
2018-04-29,47
2018-05-06,37
2018-05-13,36
2018-05-20,29
2018-05-27,29
2018-06-03,30
2018-06-10,27
2018-06-17,27
2018-06-24,25
2018-07-01,23
2018-07-08,28
2018-07-15,28
2018-07-22,27
2018-07-29,28
2018-08-05,29
2018-08-12,27
2018-08-19,32
2018-08-26,30
2018-09-02,30
2018-09-09,35
2018-09-16,36
2018-09-23,44
2018-09-30,50
2018-10-07,54
2018-10-14,60
2018-10-21,67
2018-10-28,74
2018-11-04,56
2018-11-11,50
2018-11-18,43
2018-11-25,33
2018-12-02,26
2018-12-09,24
2018-12-16,25
2018-12-23,23
2018-12-30,19
2019-01-06,24
2019-01-13,22
2019-01-20,24
2019-01-27,21
2019-02-03,23
2019-02-10,26
2019-02-17,26
2019-02-24,26
2019-03-03,28
2019-03-10,39
2019-03-17,39
2019-03-24,46
2019-03-31,56
2019-04-07,64
2019-04-14,57
2019-04-21,47
2019-04-28,38
2019-05-05,35
2019-05-12,35
2019-05-19,32
2019-05-26,33
2019-06-02,29
2019-06-09,27
2019-06-16,28
2019-06-23,28
2019-06-30,29
2019-07-07,31
2019-07-14,29
2019-07-21,30
2019-07-28,31
2019-08-04,36
2019-08-11,37
2019-08-18,36
2019-08-25,38
2019-09-01,37
2019-09-08,37
2019-09-15,42
2019-09-22,49
2019-09-29,50
2019-10-06,62
2019-10-13,66
2019-10-20,64
2019-10-27,100
2019-11-03,48
2019-11-10,40
2019-11-17,40
2019-11-24,35
2019-12-01,33
2019-12-08,26
2019-12-15,26
2019-12-22,26
2019-12-29,22
2020-01-05,25
2020-01-12,28
2020-01-19,24
2020-01-26,24
2020-02-02,28
2020-02-09,29
2020-02-16,32
2020-02-23,32
2020-03-01,39
2020-03-08,44
2020-03-15,43
2020-03-22,45
2020-03-29,33
2020-04-05,41
2020-04-12,40
2020-04-19,33
2020-04-26,40
2020-05-03,35
2020-05-10,34
2020-05-17,34
2020-05-24,36
2020-05-31,31
2020-06-07,32
2020-06-14,35
2020-06-21,32
2020-06-28,31
2020-07-05,33
2020-07-12,34
2020-07-19,33
2020-07-26,31
2020-08-02,31
2020-08-09,34
2020-08-16,29
2020-08-23,35
2020-08-30,37
2020-09-06,37
2020-09-13,37
2020-09-20,41
2020-09-27,47
2020-10-04,54
2020-10-11,62
2020-10-18,74
2020-10-25,55
2020-11-01,50
2020-11-08,59
2020-11-15,56
2020-11-22,41
2020-11-29,32
2020-12-06,25
2020-12-13,25
2020-12-20,25
2020-12-27,21
2021-01-03,23
2021-01-10,24
2021-01-17,23
2021-01-24,25
2021-01-31,27
2021-02-07,26
2021-02-14,26
2021-02-21,24
2021-02-28,28
2021-03-07,32
2021-03-14,41
2021-03-21,48
2021-03-28,58
2021-04-04,63
2021-04-11,79
2021-04-18,61
2021-04-25,54
2021-05-02,46
2021-05-09,43
2021-05-16,39
2021-05-23,46
2021-05-30,38
2021-06-06,37
2021-06-13,37
2021-06-20,30
2021-06-27,35
2021-07-04,33
2021-07-11,32
2021-07-18,34
2021-07-25,33
2021-08-01,36
2021-08-08,33
2021-08-15,32
2021-08-22,33
2021-08-29,35
2021-09-05,37
2021-09-12,45
2021-09-19,53
2021-09-26,59
2021-10-03,61
2021-10-10,56
2021-10-17,66
2021-10-24,64
2021-10-31,59
2021-11-07,63
2021-11-14,50
2021-11-21,42
2021-11-28,36
2021-12-05,34
2021-12-12,31
2021-12-19,31
2021-12-26,24
2022-01-02,24
2022-01-09,24
2022-01-16,24
2022-01-23,29
2022-01-30,29
2022-02-06,29
2022-02-13,30
2022-02-20,32
2022-02-27,44
2022-03-06,47
2022-03-13,53
2022-03-20,53
2022-03-27,48
2022-04-03,56
2022-04-10,70
2022-04-17,59
2022-04-24,51
2022-05-01,45
2022-05-08,40
2022-05-15,39
2022-05-22,40
2022-05-29,31
2022-06-05,29
2022-06-12,29
2022-06-19,26
2022-06-26,29
2022-07-03,28
2022-07-10,27
2022-07-17,30
2022-07-24,26
2022-07-31,30
2022-08-07,30
2022-08-14,31
2022-08-21,31
2022-08-28,31
2022-09-04,34
2022-09-11,33
2022-09-18,31
2022-09-25,36
2022-10-02,36
2022-10-09,41
2022-10-16,45
2022-10-23,55
2022-10-30,63
2022-11-06,45
2022-11-13,43
2022-11-20,31
2022-11-27,26
2022-12-04,25
2022-12-11,23
2022-12-18,22
2022-12-25,18
2023-01-01,18
2023-01-08,21
2023-01-15,21
2023-01-22,21
2023-01-29,23
2023-02-05,23
2023-02-12,26
2023-02-19,24
2023-02-26,29
2023-03-05,31
2023-03-12,43
2023-03-19,51
2023-03-26,50
