Неделя,Баллы
2018-04-01,13
2018-04-08,10
2018-04-15,11
2018-04-22,8
2018-04-29,10
2018-05-06,9
2018-05-13,8
2018-05-20,10
2018-05-27,10
2018-06-03,9
2018-06-10,10
2018-06-17,12
2018-06-24,10
2018-07-01,12
2018-07-08,12
2018-07-15,18
2018-07-22,19
2018-07-29,20
2018-08-05,23
2018-08-12,28
2018-08-19,27
2018-08-26,24
2018-09-02,24
2018-09-09,32
2018-09-16,33
2018-09-23,32
2018-09-30,33
2018-10-07,37
2018-10-14,39
2018-10-21,42
2018-10-28,56
2018-11-04,59
2018-11-11,66
2018-11-18,69
2018-11-25,79
2018-12-02,70
2018-12-09,66
2018-12-16,68
2018-12-23,64
2018-12-30,100
2019-01-06,59
2019-01-13,45
2019-01-20,48
2019-01-27,43
2019-02-03,30
2019-02-10,28
2019-02-17,28
2019-02-24,21
2019-03-03,20
2019-03-10,16
2019-03-17,15
2019-03-24,15
2019-03-31,12
2019-04-07,12
2019-04-14,12
2019-04-21,10
2019-04-28,11
2019-05-05,8
2019-05-12,10
2019-05-19,11
2019-05-26,10
2019-06-02,10
2019-06-09,9
2019-06-16,10
2019-06-23,11
2019-06-30,14
2019-07-07,16
2019-07-14,16
2019-07-21,18
2019-07-28,19
2019-08-04,20
2019-08-11,27
2019-08-18,24
2019-08-25,24
2019-09-01,24
2019-09-08,27
2019-09-15,32
2019-09-22,34
2019-09-29,34
2019-10-06,32
2019-10-13,38
2019-10-20,38
2019-10-27,50
2019-11-03,49
2019-11-10,48
2019-11-17,60
2019-11-24,63
2019-12-01,56
2019-12-08,50
2019-12-15,45
2019-12-22,46
2019-12-29,80
2020-01-05,50
2020-01-12,32
2020-01-19,33
2020-01-26,28
2020-02-02,29
2020-02-09,26
2020-02-16,18
2020-02-23,18
2020-03-01,16
2020-03-08,13
2020-03-15,10
2020-03-22,9
2020-03-29,7
2020-04-05,9
2020-04-12,9
2020-04-19,9
2020-04-26,10
2020-05-03,9
2020-05-10,9
2020-05-17,10
2020-05-24,10
2020-05-31,7
2020-06-07,11
2020-06-14,9
2020-06-21,11
2020-06-28,11
2020-07-05,12
2020-07-12,12
2020-07-19,14
2020-07-26,16
2020-08-02,14
2020-08-09,22
2020-08-16,18
2020-08-23,20
2020-08-30,21
2020-09-06,25
2020-09-13,28
2020-09-20,27
2020-09-27,25
2020-10-04,27
2020-10-11,34
2020-10-18,33
2020-10-25,38
2020-11-01,44
2020-11-08,42
2020-11-15,57
2020-11-22,55
2020-11-29,61
2020-12-06,61
2020-12-13,55
2020-12-20,54
2020-12-27,90
2021-01-03,64
2021-01-10,57
2021-01-17,44
2021-01-24,34
2021-01-31,31
2021-02-07,33
2021-02-14,34
2021-02-21,30
2021-02-28,21
2021-03-07,16
2021-03-14,15
2021-03-21,15
2021-03-28,11
2021-04-04,10
2021-04-11,9
2021-04-18,9
2021-04-25,8
2021-05-02,10
2021-05-09,9
2021-05-16,10
2021-05-23,8
2021-05-30,10
2021-06-06,11
2021-06-13,10
2021-06-20,11
2021-06-27,10
2021-07-04,10
2021-07-11,13
2021-07-18,12
2021-07-25,13
2021-08-01,12
2021-08-08,17
2021-08-15,20
2021-08-22,20
2021-08-29,21
2021-09-05,27
2021-09-12,33
2021-09-19,30
2021-09-26,32
2021-10-03,33
2021-10-10,28
2021-10-17,37
2021-10-24,40
2021-10-31,45
2021-11-07,52
2021-11-14,56
2021-11-21,57
2021-11-28,52
2021-12-05,58
2021-12-12,54
2021-12-19,54
2021-12-26,83
2022-01-02,59
2022-01-09,48
2022-01-16,32
2022-01-23,31
2022-01-30,31
2022-02-06,27
2022-02-13,22
2022-02-20,17
2022-02-27,13
2022-03-06,15
2022-03-13,13
2022-03-20,12
2022-03-27,10
2022-04-03,10
2022-04-10,10
2022-04-17,10
2022-04-24,10
2022-05-01,10
2022-05-08,8
2022-05-15,8
2022-05-22,9
2022-05-29,7
2022-06-05,9
2022-06-12,9
2022-06-19,7
2022-06-26,11
2022-07-03,12
2022-07-10,11
2022-07-17,11
2022-07-24,16
2022-07-31,14
2022-08-07,15
2022-08-14,16
2022-08-21,17
2022-08-28,20
2022-09-04,27
2022-09-11,29
2022-09-18,23
2022-09-25,21
2022-10-02,22
2022-10-09,28
2022-10-16,33
2022-10-23,36
2022-10-30,41
2022-11-06,41
2022-11-13,49
2022-11-20,55
2022-11-27,54
2022-12-04,57
2022-12-11,48
2022-12-18,48
2022-12-25,73
2023-01-01,53
2023-01-08,44
2023-01-15,32
2023-01-22,31
2023-01-29,30
2023-02-05,24
2023-02-12,25
2023-02-19,23
2023-02-26,18
2023-03-05,17
2023-03-12,11
2023-03-19,12
2023-03-26,13
