Неделя,Баллы
2018-04-01,38
2018-04-08,35
2018-04-15,35
2018-04-22,36
2018-04-29,33
2018-05-06,32
2018-05-13,36
2018-05-20,35
2018-05-27,36
2018-06-03,38
2018-06-10,34
2018-06-17,33
2018-06-24,32
2018-07-01,35
2018-07-08,35
2018-07-15,35
2018-07-22,35
2018-07-29,35
2018-08-05,33
2018-08-12,36
2018-08-19,34
2018-08-26,36
2018-09-02,35
2018-09-09,33
2018-09-16,34
2018-09-23,36
2018-09-30,35
2018-10-07,36
2018-10-14,37
2018-10-21,35
2018-10-28,35
2018-11-04,36
2018-11-11,37
2018-11-18,40
2018-11-25,36
2018-12-02,37
2018-12-09,38
2018-12-16,40
2018-12-23,41
2018-12-30,32
2019-01-06,37
2019-01-13,37
2019-01-20,38
2019-01-27,41
2019-02-03,40
2019-02-10,44
2019-02-17,44
2019-02-24,42
2019-03-03,39
2019-03-10,39
2019-03-17,40
2019-03-24,40
2019-03-31,39
2019-04-07,44
2019-04-14,40
2019-04-21,36
2019-04-28,34
2019-05-05,36
2019-05-12,39
2019-05-19,38
2019-05-26,37
2019-06-02,36
2019-06-09,38
2019-06-16,38
2019-06-23,39
2019-06-30,37
2019-07-07,38
2019-07-14,37
2019-07-21,38
2019-07-28,41
2019-08-04,39
2019-08-11,37
2019-08-18,35
2019-08-25,36
2019-09-01,35
2019-09-08,36
2019-09-15,36
2019-09-22,39
2019-09-29,35
2019-10-06,38
2019-10-13,36
2019-10-20,36
2019-10-27,36
2019-11-03,38
2019-11-10,37
2019-11-17,38
2019-11-24,39
2019-12-01,39
2019-12-08,39
2019-12-15,43
2019-12-22,43
2019-12-29,36
2020-01-05,38
2020-01-12,39
2020-01-19,40
2020-01-26,40
2020-02-02,39
2020-02-09,40
2020-02-16,45
2020-02-23,40
2020-03-01,40
2020-03-08,36
2020-03-15,37
2020-03-22,33
2020-03-29,32
2020-04-05,36
2020-04-12,36
2020-04-19,42
2020-04-26,39
2020-05-03,37
2020-05-10,40
2020-05-17,39
2020-05-24,39
2020-05-31,39
2020-06-07,100
2020-06-14,50
2020-06-21,41
2020-06-28,39
2020-07-05,38
2020-07-12,38
2020-07-19,35
2020-07-26,35
2020-08-02,38
2020-08-09,38
2020-08-16,37
2020-08-23,34
2020-08-30,38
2020-09-06,43
2020-09-13,38
2020-09-20,36
2020-09-27,36
2020-10-04,33
2020-10-11,36
2020-10-18,36
2020-10-25,36
2020-11-01,36
2020-11-08,37
2020-11-15,35
2020-11-22,40
2020-11-29,39
2020-12-06,38
2020-12-13,39
2020-12-20,41
2020-12-27,35
2021-01-03,34
2021-01-10,39
2021-01-17,36
2021-01-24,46
2021-01-31,37
2021-02-07,40
2021-02-14,41
2021-02-21,40
2021-02-28,38
2021-03-07,37
2021-03-14,34
2021-03-21,38
2021-03-28,35
2021-04-04,39
2021-04-11,36
2021-04-18,39
2021-04-25,40
2021-05-02,37
2021-05-09,36
2021-05-16,37
2021-05-23,38
2021-05-30,41
2021-06-06,38
2021-06-13,37
2021-06-20,38
2021-06-27,35
2021-07-04,35
2021-07-11,37
2021-07-18,37
2021-07-25,38
2021-08-01,36
2021-08-08,38
2021-08-15,39
2021-08-22,34
2021-08-29,36
2021-09-05,34
2021-09-12,36
2021-09-19,35
2021-09-26,33
2021-10-03,34
2021-10-10,33
2021-10-17,33
2021-10-24,33
2021-10-31,35
2021-11-07,37
2021-11-14,37
2021-11-21,39
2021-11-28,39
2021-12-05,42
2021-12-12,40
2021-12-19,45
2021-12-26,38
2022-01-02,39
2022-01-09,44
2022-01-16,40
2022-01-23,46
2022-01-30,46
2022-02-06,45
2022-02-13,46
2022-02-20,42
2022-02-27,40
2022-03-06,48
2022-03-13,53
2022-03-20,49
2022-03-27,46
2022-04-03,39
2022-04-10,41
2022-04-17,38
2022-04-24,39
2022-05-01,40
2022-05-08,38
2022-05-15,40
2022-05-22,41
2022-05-29,39
2022-06-05,41
2022-06-12,41
2022-06-19,43
2022-06-26,41
2022-07-03,39
2022-07-10,41
2022-07-17,39
2022-07-24,40
2022-07-31,41
2022-08-07,42
2022-08-14,41
2022-08-21,40
2022-08-28,38
2022-09-04,38
2022-09-11,39
2022-09-18,38
2022-09-25,38
2022-10-02,38
2022-10-09,43
2022-10-16,39
2022-10-23,42
2022-10-30,41
2022-11-06,41
2022-11-13,41
2022-11-20,39
2022-11-27,40
2022-12-04,42
2022-12-11,42
2022-12-18,46
2022-12-25,47
2023-01-01,37
2023-01-08,43
2023-01-15,44
2023-01-22,51
2023-01-29,45
2023-02-05,44
2023-02-12,45
2023-02-19,46
2023-02-26,45
2023-03-05,43
2023-03-12,43
2023-03-19,44
2023-03-26,44
