Неделя,Баллы
2018-04-01,47
2018-04-08,44
2018-04-15,47
2018-04-22,43
2018-04-29,41
2018-05-06,41
2018-05-13,43
2018-05-20,49
2018-05-27,47
2018-06-03,51
2018-06-10,46
2018-06-17,43
2018-06-24,43
2018-07-01,40
2018-07-08,50
2018-07-15,49
2018-07-22,50
2018-07-29,50
2018-08-05,49
2018-08-12,51
2018-08-19,48
2018-08-26,52
2018-09-02,50
2018-09-09,45
2018-09-16,51
2018-09-23,51
2018-09-30,53
2018-10-07,51
2018-10-14,54
2018-10-21,51
2018-10-28,56
2018-11-04,53
2018-11-11,53
2018-11-18,67
2018-11-25,63
2018-12-02,63
2018-12-09,60
2018-12-16,74
2018-12-23,87
2018-12-30,61
2019-01-06,50
2019-01-13,50
2019-01-20,52
2019-01-27,53
2019-02-03,53
2019-02-10,60
2019-02-17,67
2019-02-24,62
2019-03-03,73
2019-03-10,57
2019-03-17,56
2019-03-24,47
2019-03-31,51
2019-04-07,57
2019-04-14,45
2019-04-21,48
2019-04-28,45
2019-05-05,43
2019-05-12,44
2019-05-19,46
2019-05-26,48
2019-06-02,56
2019-06-09,47
2019-06-16,49
2019-06-23,48
2019-06-30,47
2019-07-07,52
2019-07-14,53
2019-07-21,53
2019-07-28,53
2019-08-04,52
2019-08-11,54
2019-08-18,52
2019-08-25,49
2019-09-01,53
2019-09-08,50
2019-09-15,51
2019-09-22,51
2019-09-29,50
2019-10-06,54
2019-10-13,54
2019-10-20,54
2019-10-27,52
2019-11-03,53
2019-11-10,55
2019-11-17,62
2019-11-24,69
2019-12-01,61
2019-12-08,70
2019-12-15,79
2019-12-22,87
2019-12-29,70
2020-01-05,54
2020-01-12,51
2020-01-19,53
2020-01-26,56
2020-02-02,57
2020-02-09,62
2020-02-16,70
2020-02-23,58
2020-03-01,70
2020-03-08,58
2020-03-15,46
2020-03-22,39
2020-03-29,29
2020-04-05,33
2020-04-12,32
2020-04-19,39
2020-04-26,37
2020-05-03,37
2020-05-10,41
2020-05-17,45
2020-05-24,40
2020-05-31,45
2020-06-07,46
2020-06-14,43
2020-06-21,47
2020-06-28,45
2020-07-05,47
2020-07-12,50
2020-07-19,51
2020-07-26,52
2020-08-02,51
2020-08-09,51
2020-08-16,51
2020-08-23,52
2020-08-30,50
2020-09-06,51
2020-09-13,51
2020-09-20,49
2020-09-27,49
2020-10-04,52
2020-10-11,53
2020-10-18,49
2020-10-25,49
2020-11-01,45
2020-11-08,51
2020-11-15,54
2020-11-22,55
2020-11-29,59
2020-12-06,56
2020-12-13,65
2020-12-20,76
2020-12-27,75
2021-01-03,53
2021-01-10,49
2021-01-17,50
2021-01-24,49
2021-01-31,52
2021-02-07,57
2021-02-14,63
2021-02-21,67
2021-02-28,75
2021-03-07,67
2021-03-14,51
2021-03-21,49
2021-03-28,50
2021-04-04,49
2021-04-11,47
2021-04-18,49
2021-04-25,50
2021-05-02,48
2021-05-09,45
2021-05-16,43
2021-05-23,47
2021-05-30,48
2021-06-06,49
2021-06-13,52
2021-06-20,45
2021-06-27,48
2021-07-04,49
2021-07-11,55
2021-07-18,52
2021-07-25,52
2021-08-01,53
2021-08-08,54
2021-08-15,58
2021-08-22,51
2021-08-29,53
2021-09-05,57
2021-09-12,60
2021-09-19,56
2021-09-26,53
2021-10-03,53
2021-10-10,56
2021-10-17,51
2021-10-24,55
2021-10-31,66
2021-11-07,55
2021-11-14,67
2021-11-21,73
2021-11-28,77
2021-12-05,83
2021-12-12,90
2021-12-19,100
2021-12-26,100
2022-01-02,68
2022-01-09,57
2022-01-16,63
2022-01-23,72
2022-01-30,75
2022-02-06,74
2022-02-13,80
2022-02-20,76
2022-02-27,70
2022-03-06,84
2022-03-13,61
2022-03-20,60
2022-03-27,57
2022-04-03,57
2022-04-10,60
2022-04-17,55
2022-04-24,61
2022-05-01,56
2022-05-08,55
2022-05-15,52
2022-05-22,49
2022-05-29,49
2022-06-05,47
2022-06-12,52
2022-06-19,54
2022-06-26,45
2022-07-03,44
2022-07-10,53
2022-07-17,53
2022-07-24,51
2022-07-31,51
2022-08-07,50
2022-08-14,52
2022-08-21,48
2022-08-28,51
2022-09-04,50
2022-09-11,52
2022-09-18,48
2022-09-25,43
2022-10-02,50
2022-10-09,55
2022-10-16,53
2022-10-23,57
2022-10-30,62
2022-11-06,62
2022-11-13,63
2022-11-20,66
2022-11-27,61
2022-12-04,63
2022-12-11,67
2022-12-18,72
2022-12-25,78
2023-01-01,61
2023-01-08,56
2023-01-15,52
2023-01-22,55
2023-01-29,60
2023-02-05,60
2023-02-12,72
2023-02-19,73
2023-02-26,68
2023-03-05,80
2023-03-12,59
2023-03-19,57
2023-03-26,57
